model_id,model,context,subset,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,accuracy,samples,hallucination_rate,coverage,hallucination_rate_inclusive,coverage_inclusive,total_expected,total_seen,missing_predictions,ranking_title,ranking_context,ranking_subset
gpt-oss_20b-context-full,gpt-oss_20b,context,full,0.801912,0.790637,0.795478,0.212668,0.242181,0.222593,0.790637,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
mistral-small3.2_latest-context-full,mistral-small3.2_latest,context,full,0.816145,0.751625,0.780494,0.207218,0.270455,0.217268,0.751625,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
gemma3_12b-context-full,gemma3_12b,context,full,0.802939,0.823688,0.803579,0.243831,0.282045,0.20838,0.823688,743,0.014589,0.985411,0.03381,0.96619,769,754,15,with context and full data,context,full
qwen3_14b-context-full,qwen3_14b,context,full,0.824783,0.769831,0.792873,0.229203,0.265106,0.2029,0.769831,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
qwen3_30b-context-full,qwen3_30b,context,full,0.783511,0.803641,0.79122,0.250542,0.186503,0.20177,0.803641,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
deepseek-r1_32b-context-full,deepseek-r1_32b,context,full,0.780139,0.846554,0.807995,0.210253,0.184434,0.1867,0.846554,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
deepseek-r1_14b-context-full,deepseek-r1_14b,context,full,0.772031,0.843953,0.80366,0.199586,0.178267,0.180558,0.843953,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
phi4_14b-context-full,phi4_14b,context,full,0.833483,0.544863,0.651433,0.185132,0.208273,0.16517,0.544863,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
gemma3_27b-context-full,gemma3_27b,context,full,0.780733,0.832898,0.798264,0.203776,0.153698,0.158396,0.832898,766,0.002604,0.997396,0.003901,0.996099,769,768,1,with context and full data,context,full
mixtral_8x7b-context-full,mixtral_8x7b,context,full,0.769548,0.837027,0.800013,0.15596,0.148719,0.147582,0.837027,767,0.002601,0.997399,0.002601,0.997399,769,769,0,with context and full data,context,full
phi4-mini_latest-context-full,phi4-mini_latest,context,full,0.783461,0.745763,0.76328,0.157577,0.14367,0.147224,0.745763,767,0.002601,0.997399,0.002601,0.997399,769,769,0,with context and full data,context,full
mistral_7b-context-full,mistral_7b,context,full,0.777932,0.848958,0.805066,0.174124,0.148073,0.146042,0.848958,768,0.0013,0.9987,0.0013,0.9987,769,769,0,with context and full data,context,full
mistral-nemo_latest-context-full,mistral-nemo_latest,context,full,0.7795,0.728218,0.748961,0.156725,0.234062,0.141737,0.728218,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
llama4_latest-context-full,llama4_latest,context,full,0.760507,0.850455,0.80099,0.141882,0.145245,0.139746,0.850455,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
llama3.1_latest-context-full,llama3.1_latest,context,full,0.819353,0.305592,0.428449,0.18181,0.169593,0.112888,0.305592,769,0.0,1.0,0.0,1.0,769,769,0,with context and full data,context,full
deepseek-r1_8b-context-full,deepseek-r1_8b,context,full,0.003623,0.014493,0.005797,0.025,0.1,0.04,0.014493,69,0.721774,0.278226,0.910273,0.089727,769,248,521,with context and full data,context,full
qwen3_14b-context-test,qwen3_14b,context,test,0.816694,0.753247,0.780932,0.183056,0.302119,0.193445,0.753247,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
gpt-oss_20b-context-test,gpt-oss_20b,context,test,0.79936,0.792208,0.795742,0.193074,0.189508,0.191227,0.792208,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
gemma3_12b-context-test,gemma3_12b,context,test,0.756103,0.813333,0.782344,0.160072,0.275824,0.185661,0.813333,150,0.019608,0.980392,0.025974,0.974026,154,153,1,with context and test data,context,test
llama4_latest-context-test,llama4_latest,context,test,0.761214,0.837662,0.795729,0.177477,0.175553,0.172672,0.837662,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
phi4-mini_latest-context-test,phi4-mini_latest,context,test,0.77456,0.707792,0.739153,0.17257,0.177005,0.172035,0.707792,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
phi4_14b-context-test,phi4_14b,context,test,0.838873,0.525974,0.638511,0.192897,0.192022,0.170514,0.525974,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
mistral-small3.2_latest-context-test,mistral-small3.2_latest,context,test,0.81417,0.74026,0.774958,0.162755,0.158188,0.159639,0.74026,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
qwen3_30b-context-test,qwen3_30b,context,test,0.769168,0.779221,0.774121,0.153439,0.152719,0.15301,0.779221,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
llama3.1_latest-context-test,llama3.1_latest,context,test,0.816546,0.305195,0.40628,0.177362,0.321111,0.13476,0.305195,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
mistral_7b-context-test,mistral_7b,context,test,0.746929,0.831169,0.7868,0.123552,0.137487,0.130147,0.831169,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
deepseek-r1_14b-context-test,deepseek-r1_14b,context,test,0.751245,0.824675,0.78625,0.124266,0.136412,0.130056,0.824675,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
deepseek-r1_32b-context-test,deepseek-r1_32b,context,test,0.746135,0.824675,0.783442,0.123421,0.136412,0.129592,0.824675,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
gemma3_27b-context-test,gemma3_27b,context,test,0.751012,0.830065,0.788562,0.123421,0.136412,0.129592,0.830065,153,0.006494,0.993506,0.006494,0.993506,154,154,0,with context and test data,context,test
mistral-nemo_latest-context-test,mistral-nemo_latest,context,test,0.755906,0.688312,0.717285,0.129926,0.255639,0.128101,0.688312,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
mixtral_8x7b-context-test,mixtral_8x7b,context,test,0.739415,0.811688,0.773868,0.122309,0.134264,0.128008,0.811688,154,0.0,1.0,0.0,1.0,154,154,0,with context and test data,context,test
deepseek-r1_8b-context-test,deepseek-r1_8b,context,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.72549,0.27451,0.909091,0.090909,154,51,103,with context and test data,context,test
deepseek-r1_32b-nocontext-full,deepseek-r1_32b,nocontext,full,0.840169,0.859375,0.833119,0.450928,0.295996,0.292359,0.859375,768,0.0013,0.9987,0.0013,0.9987,769,769,0,without context and full data,nocontext,full
mistral-small3.2_latest-nocontext-full,mistral-small3.2_latest,nocontext,full,0.831428,0.780965,0.803489,0.254477,0.306839,0.247896,0.780965,767,0.002601,0.997399,0.002601,0.997399,769,769,0,without context and full data,nocontext,full
phi4_14b-nocontext-full,phi4_14b,nocontext,full,0.822298,0.790637,0.804489,0.239502,0.261237,0.234412,0.790637,769,0.0,1.0,0.0,1.0,769,769,0,without context and full data,nocontext,full
gemma3_12b-nocontext-full,gemma3_12b,nocontext,full,0.825917,0.832241,0.820749,0.273226,0.241166,0.229327,0.832241,763,0.00651,0.99349,0.007802,0.992198,769,768,1,without context and full data,nocontext,full
gemma3_27b-nocontext-full,gemma3_27b,nocontext,full,0.822516,0.849802,0.828579,0.257303,0.221584,0.215222,0.849802,759,0.003937,0.996063,0.013004,0.986996,769,762,7,without context and full data,nocontext,full
mistral_7b-nocontext-full,mistral_7b,nocontext,full,0.811328,0.848168,0.813271,0.315196,0.210354,0.213138,0.848168,764,0.006502,0.993498,0.006502,0.993498,769,769,0,without context and full data,nocontext,full
qwen3_30b-nocontext-full,qwen3_30b,nocontext,full,0.815735,0.848958,0.818654,0.287239,0.206333,0.212811,0.848958,768,0.0013,0.9987,0.0013,0.9987,769,769,0,without context and full data,nocontext,full
qwen3_14b-nocontext-full,qwen3_14b,nocontext,full,0.806131,0.836151,0.817221,0.203152,0.292627,0.206121,0.836151,769,0.0,1.0,0.0,1.0,769,769,0,without context and full data,nocontext,full
llama4_latest-nocontext-full,llama4_latest,nocontext,full,0.794344,0.836387,0.811262,0.215561,0.219936,0.20309,0.836387,764,0.006502,0.993498,0.006502,0.993498,769,769,0,without context and full data,nocontext,full
mistral-nemo_latest-nocontext-full,mistral-nemo_latest,nocontext,full,0.81722,0.737321,0.767411,0.249862,0.297857,0.200184,0.737321,769,0.0,1.0,0.0,1.0,769,769,0,without context and full data,nocontext,full
deepseek-r1_14b-nocontext-full,deepseek-r1_14b,nocontext,full,0.793857,0.849279,0.815521,0.209044,0.193519,0.189881,0.849279,763,0.007802,0.992198,0.007802,0.992198,769,769,0,without context and full data,nocontext,full
mixtral_8x7b-nocontext-full,mixtral_8x7b,nocontext,full,0.797566,0.82962,0.810023,0.188976,0.201989,0.180456,0.82962,763,0.007802,0.992198,0.007802,0.992198,769,769,0,without context and full data,nocontext,full
gpt-oss_20b-nocontext-full,gpt-oss_20b,nocontext,full,0.845845,0.875193,0.856821,0.211798,0.162898,0.171795,0.875193,649,0.0,1.0,0.156047,0.843953,769,649,120,without context and full data,nocontext,full
phi4-mini_latest-nocontext-full,phi4-mini_latest,nocontext,full,0.808578,0.627937,0.700127,0.176531,0.257847,0.15779,0.627937,766,0.003901,0.996099,0.003901,0.996099,769,769,0,without context and full data,nocontext,full
llama3.1_latest-nocontext-full,llama3.1_latest,nocontext,full,0.841356,0.407022,0.536587,0.186913,0.205309,0.14319,0.407022,769,0.0,1.0,0.0,1.0,769,769,0,without context and full data,nocontext,full
deepseek-r1_8b-nocontext-full,deepseek-r1_8b,nocontext,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.973753,0.026247,0.986996,0.013004,769,381,388,without context and full data,nocontext,full
qwen3_14b-nocontext-test,qwen3_14b,nocontext,test,0.797453,0.831169,0.810176,0.255218,0.303095,0.261296,0.831169,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
phi4_14b-nocontext-test,phi4_14b,nocontext,test,0.789847,0.779221,0.784138,0.198052,0.18736,0.191935,0.779221,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
mistral_7b-nocontext-test,mistral_7b,nocontext,test,0.843754,0.854305,0.823132,0.313793,0.177068,0.18378,0.854305,151,0.019481,0.980519,0.019481,0.980519,154,154,0,without context and test data,nocontext,test
gemma3_27b-nocontext-test,gemma3_27b,nocontext,test,0.788499,0.827815,0.805966,0.182014,0.172912,0.17392,0.827815,151,0.0,1.0,0.019481,0.980519,154,151,3,without context and test data,nocontext,test
phi4-mini_latest-nocontext-test,phi4-mini_latest,nocontext,test,0.800459,0.607843,0.68122,0.15479,0.310956,0.153826,0.607843,153,0.006494,0.993506,0.006494,0.993506,154,154,0,without context and test data,nocontext,test
deepseek-r1_32b-nocontext-test,deepseek-r1_32b,nocontext,test,0.786804,0.849673,0.811251,0.172983,0.151548,0.152041,0.849673,153,0.006494,0.993506,0.006494,0.993506,154,154,0,without context and test data,nocontext,test
qwen3_30b-nocontext-test,qwen3_30b,nocontext,test,0.79133,0.843137,0.81076,0.173727,0.150474,0.15196,0.843137,153,0.006494,0.993506,0.006494,0.993506,154,154,0,without context and test data,nocontext,test
gpt-oss_20b-nocontext-test,gpt-oss_20b,nocontext,test,0.816841,0.830882,0.822899,0.157604,0.148104,0.15102,0.830882,136,0.0,1.0,0.116883,0.883117,154,136,18,without context and test data,nocontext,test
mixtral_8x7b-nocontext-test,mixtral_8x7b,nocontext,test,0.776934,0.810458,0.787882,0.171362,0.145103,0.1482,0.810458,153,0.006494,0.993506,0.006494,0.993506,154,154,0,without context and test data,nocontext,test
deepseek-r1_14b-nocontext-test,deepseek-r1_14b,nocontext,test,0.786048,0.828947,0.806399,0.147055,0.147251,0.146217,0.828947,152,0.012987,0.987013,0.012987,0.987013,154,154,0,without context and test data,nocontext,test
mistral-small3.2_latest-nocontext-test,mistral-small3.2_latest,nocontext,test,0.78346,0.74026,0.761117,0.145975,0.134362,0.139693,0.74026,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
mistral-nemo_latest-nocontext-test,mistral-nemo_latest,nocontext,test,0.760406,0.720779,0.737198,0.134643,0.26101,0.138623,0.720779,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
llama3.1_latest-nocontext-test,llama3.1_latest,nocontext,test,0.829939,0.383117,0.515778,0.181784,0.144566,0.135387,0.383117,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
gemma3_12b-nocontext-test,gemma3_12b,nocontext,test,0.76922,0.803922,0.786188,0.126413,0.132116,0.129202,0.803922,153,0.006494,0.993506,0.006494,0.993506,154,154,0,without context and test data,nocontext,test
llama4_latest-nocontext-test,llama4_latest,nocontext,test,0.742848,0.798701,0.769763,0.122877,0.132116,0.127329,0.798701,154,0.0,1.0,0.0,1.0,154,154,0,without context and test data,nocontext,test
deepseek-r1_8b-nocontext-test,deepseek-r1_8b,nocontext,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,154,72,82,without context and test data,nocontext,test
